,SRR6206939_pass,SRR6206940_pass,SRR6206941_pass,SRR6206942_pass,SRR6206943_pass,SRR6206944_pass
1700064M15Rik,1,5,8,0,0,1
1700065D16Rik,11,4,5,18,17,27
1700065J11Rik,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0
1700066B19Rik,4,1,7,44,39,53
1700066C05Rik,0,0,0,0,0,0
1700066J03Rik,1,0,0,0,0,0
1700066M21Rik,93,116,120,185,182,166
1700066N21Rik,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0
1700067K01Rik,10,8,7,4,6,14
1700067P10Rik,0,0,0,0,0,0
1700069B07Rik,9,9,10,11,6,11
1700069L16Rik,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0
1700071M16Rik,9,7,8,4,1,2
1700072B07Rik,0,0,0,0,0,0
1700072G22Rik,1,0,1,2,0,0
1700072O05Rik,0,0,0,0,0,0
1700074A21Rik,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0
1700074P13Rik,4,2,1,0,0,0
1700080E11Rik,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0
1700081B01Rik,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0
1700082M22Rik,22,11,12,12,6,11
1700083H02Rik,0,0,0,0,0,0
1700084C06Rik,77,64,75,94,147,136
1700084E18Rik,19,22,22,17,12,12
1700084F23Rik,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0
1700085C21Rik,0,0,0,1,1,1
1700086D15Rik,0,0,0,0,0,0
1700086O06Rik,22,13,9,72,15,41
1700086P04Rik,0,1,0,0,1,0
1700088E04Rik,9,5,6,14,2,8
1700092C02Rik,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0
1700092C17Rik,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0
1700092M07Rik,1,1,1,2,1,1
1700093J21Rik,1,2,1,0,0,0
1700093K21Rik,8,3,6,3,1,2
1700094J05Rik,1,0,0,0,0,1
1700094M23Rik,0,0,0,0,0,0
1700094M24Rik,0,1,0,0,0,0
1700095A13Rik,0,0,0,0,0,0
1700095A21Rik,0,1,0,1,0,0
1700095B10Rik,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0
1700095J07Rik,11,14,11,20,11,5
1700095J12Rik,0,2,0,0,1,0
1700095K22Rik,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0
1700096K18Rik,60,40,40,14,13,22
1700097M23Rik,2,0,0,3,2,3
1700097N02Rik,322,337,351,3150,2988,4234
1700099I09Rik,1,2,1,0,0,0
1700100L14Rik,0,0,0,0,0,0
1700101I11Rik,8,7,9,1,1,0
1700101I19Rik,0,0,0,0,0,0
1700101O22Rik,0,0,0,0,0,0
1700102F20Rik,0,0,0,0,0,0
1700102P08Rik,44,44,56,4,2,6
1700104B16Rik,1,3,2,0,1,2
1700105P06Rik,4,3,6,10,1,2
1700108F19Rik,1,1,1,0,1,1
1700108J01Rik,0,1,0,0,0,0
1700108N06Rik,0,0,0,0,0,0
1700108N11Rik,0,0,0,0,0,0
1700109G14Rik,2,0,1,1,0,0
1700109G15Rik,0,0,0,0,0,0
1700109H08Rik,18,20,16,9,2,7
1700109I08Rik,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0
1700110C19Rik,2,0,1,0,0,0
1700110I01Rik,0,0,1,0,6,2
1700110I07Rik,0,0,0,0,0,0
1700110K17Rik,0,0,0,0,0,0
1700111E14Rik,0,0,0,0,0,0
1700111N16Rik,0,0,0,0,0,0
1700112D23Rik,0,0,0,0,0,0
1700112H15Rik,0,0,0,0,0,0
1700112J05Rik,0,0,0,1,0,0
1700112J16Rik,5,2,5,3,4,0
1700112K13Rik,0,0,0,0,0,0
1700112L15Rik,0,0,0,0,0,0
1700113A16Rik,74,46,55,73,78,90
1700113B19Rik,0,0,0,0,0,0
1700113H08Rik,1,0,0,0,0,0
1700116B05Rik,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0
1700119I11Rik,0,0,0,0,0,0
1700120B22Rik,63,45,63,47,41,27
1700120C14Rik,11,13,7,20,22,9
1700120C18Rik,0,0,0,0,0,0
1700120E14Rik,0,0,0,0,0,0
1700120G07Rik,3,0,0,0,0,0
1700120G11Rik,0,0,0,0,0,0
1700120K04Rik,0,0,0,0,0,0
1700120O09Rik,0,0,0,0,0,0
1700121C08Rik,0,0,0,0,0,0
1700121L03Rik,0,0,0,0,0,0
1700121L16Rik,0,3,0,0,0,0
1700121N20Rik,0,0,0,0,0,0
1700122D07Rik,0,0,0,0,0,0
1700122E12Rik,0,1,0,5,1,4
1700122H20Rik,0,0,0,1,0,4
1700122O11Rik,0,0,0,0,0,0
1700123J17Rik,2,0,0,4,2,0
1700123K08Rik,0,0,0,0,0,0
1700123L14Rik,3,6,1,1,1,0
1700123M08Rik,2,3,5,11,24,12
1700123O12Rik,0,0,0,0,0,0
1700123O20Rik,735,704,761,845,660,752
1700123O21Rik,0,0,0,0,0,0
1700124L16Rik,2,2,3,4,1,2
1700125G02Rik,0,0,0,0,0,0
1700125G22Rik,1,0,0,0,0,0
1700125H03Rik,0,0,0,1,0,0
1700125H20Rik,0,0,0,0,0,0
1700126A01Rik,0,0,0,0,0,0
1700126G02Rik,14,7,22,5,10,10
1700126H18Rik,0,0,0,0,0,0
1700128A07Rik,0,0,0,0,0,0
1700128E19Rik,0,0,0,0,0,0
1700129C05Rik,1,3,0,0,0,0
1700129L04Rik,0,0,0,0,0,0
1810006J02Rik,25,25,34,27,17,88
1810007C17Rik,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0
1810008B01Rik,0,0,0,0,0,0
1810008I18Rik,1,2,0,3,0,4
1810009A15Rik,380,466,518,1308,1035,883
1810009J06Rik,0,0,0,0,0,0
1810010D01Rik,1,0,0,0,0,0
1810010H24Rik,24,14,21,2,3,9
1810010K12Rik,0,0,0,0,0,0
1810011H11Rik,22,29,42,5,55,7
1810011O10Rik,3,7,11,3,0,1
1810012K08Rik,21,19,14,37,24,20
1810012K16Rik,1,1,0,1,1,0
1810013D15Rik,33,25,16,78,35,44
1810013L24Rik,1881,1635,1562,721,572,738
1810017P11Rik,0,0,0,0,0,0
1810019D21Rik,5,4,1,4,0,3
1810019N24Rik,5,7,9,10,14,12
1810020O05Rik,0,1,1,0,0,1
1810021B22Rik,11,8,5,1,0,4
1810022K09Rik,277,304,292,1090,919,992
1810024B03Rik,6,5,4,16,13,9
1810026B05Rik,2309,2357,2286,1147,900,1182
1810030O07Rik,823,735,730,1221,1062,1082
1810032O08Rik,388,383,338,667,432,474
1810034E14Rik,27,27,41,39,4,37
1810037I17Rik,468,586,556,952,673,928
1810041H14Rik,28,20,19,14,10,22
1810041L15Rik,2,3,5,3,1,1
1810043G02Rik,246,229,266,131,110,152
1810044D09Rik,28,29,22,69,44,40
1810046K07Rik,63,56,75,2,4,8
1810049I09Rik,0,0,0,0,0,0
1810049J17Rik,280,227,236,170,183,172
1810053B23Rik,0,1,0,1,0,0
1810055G02Rik,20,28,18,108,160,137
1810058I24Rik,919,1074,1077,1564,1225,1334
1810059C17Rik,2,2,2,2,2,0
1810059H22Rik,16,13,12,23,123,83
1810062G17Rik,0,0,1,1,0,1
1810062O18Rik,39,27,28,14,20,21
1810063I02Rik,0,0,0,0,0,0
1810064F22Rik,4,1,4,5,1,4
1810065E05Rik,1,0,1,0,0,0
2010001A14Rik,64,62,66,67,86,83
2010001K21Rik,23,15,19,35,40,34
2010003K11Rik,0,0,0,0,0,0
2010005H15Rik,4,2,1,0,0,0
2010007H06Rik,122,100,147,30,97,42
2010008C14Rik,20,19,31,63,135,93
2010009K17Rik,0,0,2,1,0,0
2010013B24Rik,13,16,17,5,0,6
2010015M23Rik,15,21,15,11,13,16
2010016I18Rik,118,99,122,52,58,75
2010103J01Rik,1,0,0,0,1,3
2010106C02Rik,0,0,0,0,0,0
2010106E10Rik,0,0,0,0,0,0
2010107E04Rik,435,536,514,1515,1477,1400
2010107G23Rik,19,15,24,30,16,28
2010109A12Rik,0,1,0,0,0,0
2010109I03Rik,29,8,21,6,18,11
2010109P13Rik,0,0,0,0,0,0
2010110E17Rik,1,2,0,1,5,2
2010110G14Rik,0,0,0,0,0,0
2010110K18Rik,2,1,5,70,54,49
2010111I01Rik,206,182,200,497,335,343
2010204K13Rik,31,24,24,201,319,226
2010300C02Rik,22,20,25,6,554,32
2010300F17Rik,32,21,23,26,12,24
2010308F09Rik,0,0,0,0,0,0
2010309G21Rik,175,149,173,23,4,17
2010310C07Rik,2,3,1,1,0,0
2010315B03Rik,209,209,172,124,82,117
2010320M18Rik,81,77,53,123,93,110
2010320O07Rik,1,0,0,1,1,3
2200002A13Rik,0,0,0,0,0,0
2200002D01Rik,14,11,17,69,18,94
2200002J24Rik,1,1,1,0,0,0
2200007N16Rik,0,0,0,0,0,0
2210008F06Rik,0,0,1,14,13,17
2210010C04Rik,0,1,7,51,5,253
2210011C24Rik,1,0,3,0,2,0
2210011K15Rik,0,0,0,0,0,0
2210013O21Rik,115,127,130,222,154,78
2210016F16Rik,706,609,584,1355,1545,1340
2210016L21Rik,614,588,600,980,1212,937
2210017I01Rik,6,5,11,3,0,3
2210406H18Rik,19,19,14,6,2,10
2210406O10Rik,2,0,3,11,11,10
2210407C18Rik,0,0,0,0,0,0
